EEID,Full Name,Project ID,Project Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Field of Study,Skills,Hire Date,Exit Date,Experience (Years),Performance Rating,Annual Salary,Tech Stack,Resigned (Y/N)
E10001,John Smith,P001,Project Phoenix,Software Engineer,IT,Manufacturing,Male,Caucasian,32,Computer Science,"Python, SQL, AWS",5/12/2018,,5,4,"$95,000 ","Python, Django, PostgreSQL",N
E10002,Emily Johnson,P001,Project Phoenix,Data Analyst,Finance,Manufacturing,Female,Caucasian,28,Statistics,"R, Tableau, Excel",3/15/2019,,4,3,"$85,000 ","R, Python, PowerBI",N
E10003,Michael Chen,P001,Project Phoenix,DevOps Engineer,IT,Manufacturing,Male,Asian,35,Computer Engineering,"Docker, Kubernetes, Azure",7/22/2017,,6,5,"$110,000 ","AWS, Terraform, Jenkins",N
E10004,Sarah Williams,P001,Project Phoenix,UX Designer,IT,Manufacturing,Female,Black,29,Design,"Figma, Adobe XD",9/5/2020,,3,4,"$90,000 ","Sketch, InVision",N
E10005,David Kim,P001,Project Phoenix,Product Manager,IT,Manufacturing,Male,Asian,40,Business Administration,"Agile, Scrum",1/10/2016,,7,5,"$120,000 ","Jira, Confluence",N
E10006,Jessica Brown,P001,Project Phoenix,QA Engineer,IT,Manufacturing,Female,Caucasian,31,Computer Science,"Selenium, JIRA",11/18/2019,10/15/2021,2,3,"$75,000 ","Java, TestNG",Y
E10007,Robert Garcia,P002,Project Atlas,Senior Developer,IT,Research & Development,Male,Latino,38,Computer Science,"Java, Spring Boot",4/5/2015,,8,4,"$115,000 ","Java, Microservices",N
E10008,Amanda Lee,P002,Project Atlas,Data Scientist,Finance,Research & Development,Female,Asian,33,Data Science,"Python, TensorFlow",6/20/2018,,5,5,"$105,000 ","Python, PyTorch",N
E10009,Daniel Wilson,P002,Project Atlas,Cloud Architect,IT,Research & Development,Male,Caucasian,42,Computer Engineering,"AWS, GCP",2/14/2016,,7,5,"$130,000 ","AWS, Terraform",N
E10010,Olivia Martinez,P002,Project Atlas,UI Developer,IT,Research & Development,Female,Latino,27,Computer Science,"React, JavaScript",8/9/2020,,3,4,"$88,000 ","React, Node.js",N
E10011,James Taylor,P002,Project Atlas,Scrum Master,IT,Research & Development,Male,Black,45,Business Management,"Agile, Kanban",10/12/2014,,9,4,"$100,000 ","Jira, Confluence",N
E10012,Sophia Anderson,P002,Project Atlas,Database Admin,IT,Research & Development,Female,Caucasian,36,Computer Science,"SQL, MongoDB",3/22/2017,,6,3,"$92,000 ","MySQL, PostgreSQL",N
E10013,William Thomas,P003,Project Orion,Full Stack Developer,IT,Speciality Products,Male,Caucasian,30,Computer Science,"JavaScript, Node.js",7/15/2019,,4,4,"$98,000 ",MERN Stack,N
E10014,Emma Hernandez,P003,Project Orion,Marketing Analyst,Marketing,Speciality Products,Female,Latino,29,Marketing,"SEO, Google Analytics",9/10/2020,,3,3,"$82,000 ","Google Ads, HubSpot",N
E10015,Christopher Lopez,P003,Project Orion,Systems Engineer,Engineering,Speciality Products,Male,Latino,39,Electrical Engineering,"Linux, Bash",5/18/2016,,7,5,"$108,000 ","Python, Shell Scripting",N
E10016,Ava Gonzalez,P003,Project Orion,HR Specialist,Human Resources,Speciality Products,Female,Latino,34,Human Resources,"Recruiting, Onboarding",11/5/2018,,5,4,"$78,000 ","Workday, BambooHR",N
E10017,Matthew Perez,P003,Project Orion,Security Analyst,IT,Speciality Products,Male,Latino,37,Cybersecurity,"SIEM, Firewalls",4/22/2017,,6,4,"$112,000 ","Splunk, Wireshark",N
E10018,Mia Rodriguez,P003,Project Orion,Content Writer,Marketing,Speciality Products,Female,Latino,28,English Literature,"Copywriting, Editing",2/14/2021,,2,3,"$65,000 ","WordPress, Grammarly",N
E10019,Andrew Lewis,P004,Project Titan,AI Engineer,Engineering,Corporate,Male,Caucasian,41,Computer Science,"Python, ML",8/30/2015,,8,5,"$125,000 ","TensorFlow, PyTorch",N
E10020,Isabella Walker,P004,Project Titan,Financial Analyst,Finance,Corporate,Female,Black,31,Finance,"Excel, Financial Modeling",6/10/2019,,4,4,"$87,000 ","SAP, Oracle",N
E10021,Joshua Hall,P004,Project Titan,Network Engineer,IT,Corporate,Male,Caucasian,36,Network Engineering,"Cisco, Firewalls",3/5/2017,,6,4,"$102,000 ","CCNA, VPN",N
E10022,Samantha Young,P004,Project Titan,Recruiter,Human Resources,Corporate,Female,Asian,29,Psychology,"Interviewing, Sourcing",9/22/2020,,3,3,"$72,000 ",LinkedIn Recruiter,N
E10023,Ethan Allen,P004,Project Titan,Backend Developer,IT,Corporate,Male,Caucasian,33,Computer Science,"Java, Spring",7/8/2018,,5,4,"$96,000 ","Java, Kafka",N
E10024,Madison King,P004,Project Titan,Frontend Developer,IT,Corporate,Female,Black,27,Computer Science,"React, TypeScript",1/15/2021,,2,3,"$85,000 ","React, Redux",N
E10025,Alexander Wright,P005,Project Nebula,Data Engineer,IT,Manufacturing,Male,Caucasian,38,Computer Science,"Spark, Hadoop",5/20/2016,,7,5,"$118,000 ","Python, SQL",N
E10026,Charlotte Scott,P005,Project Nebula,Product Designer,IT,Manufacturing,Female,Caucasian,30,Design,"UI/UX, Prototyping",10/12/2019,,4,4,"$94,000 ","Figma, Sketch",N
